ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.secret_key,keyword,custom,,,Agent module configuration: aws-s3.buckets.secret_key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.service_endpoint,keyword,custom,,,Agent module configuration: aws-s3.buckets.service_endpoint.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.sts_endpoint,keyword,custom,,,Agent module configuration: aws-s3.buckets.sts_endpoint.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.buckets.type,keyword,custom,,,Agent module configuration: aws-s3.buckets.type.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.day,long,custom,,,Agent module configuration: aws-s3.day.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.disabled,keyword,custom,,,Agent module configuration: aws-s3.disabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.interval,long,custom,,,Agent module configuration: aws-s3.interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.run_on_start,keyword,custom,,,Agent module configuration: aws-s3.run_on_start.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.access_key,keyword,custom,,,Agent module configuration: aws-s3.services.access_key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.aws_account_alias,keyword,custom,,,Agent module configuration: aws-s3.services.aws_account_alias.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.aws_account_id,keyword,custom,,,Agent module configuration: aws-s3.services.aws_account_id.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.aws_log_groups,keyword,custom,,,Agent module configuration: aws-s3.services.aws_log_groups.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.aws_profile,keyword,custom,,,Agent module configuration: aws-s3.services.aws_profile.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.discard_field,keyword,custom,,,Agent module configuration: aws-s3.services.discard_field.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.discard_regex,keyword,custom,,,Agent module configuration: aws-s3.services.discard_regex.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.iam_role_arn,keyword,custom,,,Agent module configuration: aws-s3.services.iam_role_arn.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.iam_role_duration,keyword,custom,,,Agent module configuration: aws-s3.services.iam_role_duration.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.only_logs_after,keyword,custom,,,Agent module configuration: aws-s3.services.only_logs_after.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.regions,keyword,custom,,,Agent module configuration: aws-s3.services.regions.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.remove_log_streams,keyword,custom,,,Agent module configuration: aws-s3.services.remove_log_streams.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.secret_key,keyword,custom,,,Agent module configuration: aws-s3.services.secret_key.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.service_endpoint,keyword,custom,,,Agent module configuration: aws-s3.services.service_endpoint.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.sts_endpoint,keyword,custom,,,Agent module configuration: aws-s3.services.sts_endpoint.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.services.type,keyword,custom,,,Agent module configuration: aws-s3.services.type.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.skip_on_error,keyword,custom,,,Agent module configuration: aws-s3.skip_on_error.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.aws_profile,keyword,custom,,,Agent module configuration: aws-s3.subscribers.aws_profile.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.discard_field,keyword,custom,,,Agent module configuration: aws-s3.subscribers.discard_field.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.discard_regex,keyword,custom,,,Agent module configuration: aws-s3.subscribers.discard_regex.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.external_id,keyword,custom,,,Agent module configuration: aws-s3.subscribers.external_id.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.iam_role_arn,keyword,custom,,,Agent module configuration: aws-s3.subscribers.iam_role_arn.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.iam_role_duration,keyword,custom,,,Agent module configuration: aws-s3.subscribers.iam_role_duration.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.service_endpoint,keyword,custom,,,Agent module configuration: aws-s3.subscribers.service_endpoint.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.sqs_name,keyword,custom,,,Agent module configuration: aws-s3.subscribers.sqs_name.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.sts_endpoint,keyword,custom,,,Agent module configuration: aws-s3.subscribers.sts_endpoint.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.subscribers.type,keyword,custom,,,Agent module configuration: aws-s3.subscribers.type.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.time,keyword,custom,,,Agent module configuration: aws-s3.time.
9.1.0,true,wazuh,wazuh.agent.configuration.content.aws-s3.wday,keyword,custom,,,Agent module configuration: aws-s3.wday.
